,직무,직무별 스택,빈도수
0,백엔드,python,42
1,백엔드,SQL,6
2,백엔드,PostgreSQL,13
3,백엔드,nosql,3
4,백엔드,FastAPI,7
5,백엔드,개발,1
6,백엔드,C#,1
7,백엔드,백엔드,42
8,백엔드,백엔드 개발,40
9,백엔드,AI,1
10,백엔드,머신러닝,1
11,백엔드,MSA,1
12,백엔드,MYSQL,24
13,백엔드,node.js,15
14,백엔드,MongoDB,4
15,백엔드,google pub,1
16,백엔드,slack,4
17,백엔드,notion,4
18,백엔드,Google Workspace,3
19,백엔드,django,8
20,백엔드,aws,36
21,백엔드,rest api,10
22,백엔드,elasticsearch,10
23,백엔드,Docker,10
24,백엔드,Javascript,15
25,백엔드,Php,5
26,백엔드,JIRA,6
27,백엔드,MVC,2
28,백엔드,ruby on rails,3
29,백엔드,gcp,4
30,백엔드,restful api,10
31,백엔드,github,9
32,백엔드,typescript,16
33,백엔드,java,27
34,백엔드,Oracle,1
35,백엔드,spring boot,14
36,백엔드,Kubernetes,12
37,백엔드,Spring framework,6
38,백엔드,REDIS,11
39,백엔드,Dynamodb,8
40,백엔드,Spring Webflux,2
41,백엔드,시스템 아키텍처,1
42,백엔드,Next.js,4
43,백엔드,ubuntu,1
44,백엔드,graphql,5
45,백엔드,kotlin,9
46,백엔드,rdbms,1
47,백엔드,ERP연동,1
48,백엔드,소프트웨어 엔지니어,2
49,백엔드,git,6
50,백엔드,kafka,8
51,백엔드,Flask,1
52,백엔드,go,7
53,백엔드,gRPC,6
54,백엔드,airflow,3
55,백엔드,Spring,9
56,백엔드,Linux,6
57,백엔드,devops,2
58,백엔드,Amazon DynamoDB,1
59,백엔드,Amazon Athena,1
60,백엔드,API,2
61,백엔드,데이터베이스 설계,1
62,백엔드,전기차충전기,1
63,백엔드,CI/CD,3
64,백엔드,datadog,1
65,백엔드,opensearch,1
66,백엔드,Databricks,1
67,백엔드,MSSQL,1
68,백엔드,jquery,1
69,백엔드,ASP.NET,1
70,백엔드,azure,1
71,백엔드,ReactJS,1
72,백엔드,orm,2
73,백엔드,ASP.net core,1
74,백엔드,websocket,1
75,백엔드,Golang,2
76,백엔드,java c,1
77,백엔드,openai,1
78,백엔드,Claude,1
