company,category,date
(주)모비루스,Keras,25/11/28
(주)모비루스,Tensorflow,25/11/28
(주)모비루스,블록체인,25/11/28
(주)모비루스,빅데이터,25/11/28
(주)모비루스,딥러닝,25/11/28
(주)블루개러지,알고리즘,25/12/10
(주)블루개러지,AR(증강현실),25/12/10
(주)블루개러지,음성인식,25/12/10
(주)블루개러지,데이터라벨링,25/12/10
(주)블루개러지,빅데이터,25/12/10
(주)뉴엔에이아이,기획,25/12/09
(주)뉴엔에이아이,데이터 사이언티스트,25/12/09
(주)뉴엔에이아이,데이터분석가,25/12/09
(주)뉴엔에이아이,AI(인공지능),25/12/09
(주)뉴엔에이아이,데이터엔지니어,25/12/09
(주)모비루스,Keras,25/11/28
(주)모비루스,Tensorflow,25/11/28
(주)모비루스,블록체인,25/11/28
(주)모비루스,빅데이터,25/11/28
(주)모비루스,딥러닝,25/11/28
(사)한국아이씨티에이아이기술협회,웹마스터,25/12/05
(사)한국아이씨티에이아이기술협회,풀스택,25/12/05
(사)한국아이씨티에이아이기술협회,메타버스,25/12/05
(사)한국아이씨티에이아이기술협회,Ajax,25/12/05
(사)한국아이씨티에이아이기술협회,Python,25/12/05
한국쓰리엠(주),웹마스터,25/11/01
한국쓰리엠(주),수질환경기사,25/11/01
한국쓰리엠(주),ABAP,25/11/01
한국쓰리엠(주),시장조사,25/11/01
한국쓰리엠(주),불량분석,25/11/01
피엠인터내셔널코리아(유),데이터 사이언티스트,25/12/08
피엠인터내셔널코리아(유),데이터분석가,25/12/08
피엠인터내셔널코리아(유),AI(인공지능),25/12/08
피엠인터내셔널코리아(유),판매,25/12/08
피엠인터내셔널코리아(유),데이터 사이언티스트,25/12/08
피엠인터내셔널코리아(유),데이터분석가,25/12/08
피엠인터내셔널코리아(유),AI(인공지능),25/12/08
피엠인터내셔널코리아(유),판매,25/12/08
(주)아이겐드럭,유지보수,25/12/04
(주)아이겐드럭,헬스케어,25/12/04
(주)아이겐드럭,ETL,25/12/04
(주)아이겐드럭,HTTP,25/12/04
(주)아이겐드럭,Python,25/12/04
(주)엔씨소프트,총무,25/11/05
(주)엔씨소프트,게임기획,25/11/05
(주)엔씨소프트,서무,25/11/05
(주)엔씨소프트,게임디자인,25/11/05
(주)엔씨소프트,게임개발,25/11/05
에이엠(주),유지보수,25/11/25
에이엠(주),사업관리,25/11/25
에이엠(주),전장설계,25/11/25
에이엠(주),생산,25/11/25
에이엠(주),품질관리,25/11/25
(주)위즈코리아,HTML5,25/10/28
(주)위즈코리아,외부감사,25/10/28
(주)위즈코리아,Java,25/10/28
(주)위즈코리아,Javascript,25/10/28
(주)위즈코리아,빅데이터,25/10/28
에스디엘(주),검색엔진,25/12/01
에스디엘(주),데이터라벨링,25/12/01
에스디엘(주),통/번역,25/12/01
에스디엘(주),영어,25/12/01
에스디엘(주),IT컨설팅,25/12/01
서울대학교병원,머신러닝,25/12/09
