company,category,date
(주)경일게임아이티아카데미,게임기획,25/11/25
(주)경일게임아이티아카데미,게임디자인,25/11/25
(주)경일게임아이티아카데미,GM(게임운영),25/11/25
(주)경일게임아이티아카데미,게임개발,25/11/25
(주)경일게임아이티아카데미,Unreal,25/11/25
(주)코리아인,사무행정,25/12/09
(주)코리아인,총무,25/12/09
(주)코리아인,경리,25/12/09
(주)코리아인,경리사무원,25/12/09
(주)코리아인,더존,25/12/09
(주)코리아인,GM(게임운영),25/12/10
(주)코리아인,사무행정,25/12/10
(주)코리아인,총무,25/12/10
(주)코리아인,정보보안,25/12/10
(주)코리아인,QA/테스터,25/12/10
(주)코리아인,게임기획,25/12/05
(주)코리아인,게임개발,25/12/05
(주)코리아인,GM(게임운영),25/12/05
(주)코리아인,게임개발,25/12/05
(주)코리아인,보안컨설팅,25/12/05
엠비씨(MBC)아카데미 컴퓨터교육센터,게임기획,25/12/04
엠비씨(MBC)아카데미 컴퓨터교육센터,게임디자인,25/12/04
엠비씨(MBC)아카데미 컴퓨터교육센터,게임개발,25/12/04
엠비씨(MBC)아카데미 컴퓨터교육센터,그래픽디자인,25/12/04
엠비씨(MBC)아카데미 컴퓨터교육센터,애니메이터,25/12/04
주식회사 에스엠게임즈,게임기획,25/12/09
주식회사 에스엠게임즈,게임개발,25/12/09
주식회사 에스엠게임즈,QA/테스터,25/12/09
주식회사 에스엠게임즈,2D온라인게임,25/12/09
주식회사 에스엠게임즈,베타테스터,25/12/09
(주)스토리타코,QA,25/12/09
(주)스토리타코,PM(프로젝트매니저),25/12/09
(주)스토리타코,개발PM,25/12/09
(주)스토리타코,게임,25/12/09
(주)플레이팩토리,GM(게임운영),25/11/14
(주)플레이팩토리,게임개발,25/11/14
(주)플레이팩토리,QA/테스터,25/11/14
(주)플레이팩토리,사무직,25/11/14
(주)플레이팩토리,사무보조,25/11/14
(주)네오플,게임기획,25/12/09
(주)네오플,게임개발,25/12/09
(주)네오플,QA/테스터,25/12/09
(주)네오플,앱기획,25/12/09
(주)네오플,웹기획,25/12/09
(주)케이앤웍스,보안컨설팅,25/11/26
(주)케이앤웍스,사이트관리,25/11/26
(주)케이앤웍스,콘텐츠관리,25/11/26
(주)케이앤웍스,IP(지식재산권),25/11/26
(주)케이앤웍스,OA,25/11/26
(주)게임덱스,게임개발,25/10/23
(주)게임덱스,QA/테스터,25/10/23
(주)게임덱스,게임,25/10/23
이모션웨이브(주),게임기획,25/10/14
이모션웨이브(주),게임디자인,25/10/14
이모션웨이브(주),게임개발,25/10/14
이모션웨이브(주),GM(게임운영),25/10/14
이모션웨이브(주),게임개발,25/10/14
(주)네오플,게임기획,25/11/27
(주)네오플,게임디자인,25/11/27
