date,percent
2001-06-30,0.38
2001-07-30,0.43
2001-08-30,0.38
2001-09-28,0.39
2001-10-26,0.42
2001-11-28,0.76
2001-12-31,0.59
2002-01-30,0.62
2002-02-27,0.74
2002-03-29,0.74
2002-04-29,1.18
2002-05-29,1.16
2002-06-29,1.46
2002-07-31,1.36
2002-08-29,1.46
2002-09-29,1.65
2002-10-30,1.78
2002-11-29,2.38
2002-12-31,2.45
2003-01-31,1.99
2003-02-28,1.98
2003-03-31,2.38
2003-04-30,1.88
2003-05-30,1.94
2003-06-30,1.78
2003-07-31,2.0
2003-08-31,2.06
2003-09-30,1.94
2003-10-31,1.9
2003-11-30,1.71
2003-12-31,1.8
2004-01-31,2.18
2004-02-29,2.24
2004-03-31,2.14
2004-04-30,1.88
2004-05-30,1.65
2004-06-30,1.67
2004-07-31,1.63
2004-08-30,1.63
2004-09-30,1.64
2004-10-31,1.5
2004-11-30,1.95
2004-12-31,2.2
2005-01-31,2.36
2005-02-28,2.53
2005-03-31,2.82
2005-04-30,2.77
2005-05-31,2.78
2005-06-30,3.14
2005-07-31,3.48
2005-08-31,3.29
2005-09-30,3.46
2005-12-03,3.31
2006-01-04,3.55
2006-02-02,3.97
2006-03-01,3.15
2006-04-02,3.95
2006-05-01,3.27
2006-06-01,3.24
2006-07-02,3.4
2006-08-02,2.68
2006-09-02,2.99
2006-10-01,3.06
2006-11-02,3.02
2006-12-01,3.17
2007-01-02,3.52
2007-02-03,3.19
2007-03-03,3.37
2007-04-01,3.55
2007-05-05,3.66
2007-06-02,3.48
2007-07-02,3.71
2007-08-05,3.99
2007-09-02,3.58
2007-10-04,3.74
2007-11-04,3.92
2007-12-03,3.99
2008-01-03,4.86
2008-02-07,4.51
2008-06-01,4.06
2008-07-02,4.0
2008-08-03,3.7
2008-09-03,4.33
2008-10-06,3.77
2008-11-02,4.03
2008-12-03,4.58
2009-01-02,5.61
2009-02-01,5.06
2009-03-05,4.32
2009-04-07,4.06
2009-05-01,4.27
2009-06-04,4.54
2009-07-02,4.54
2009-08-01,4.44
2009-09-05,4.19
2009-10-02,4.42
2009-11-02,5.35
2009-12-02,6.26
2010-01-05,5.77
2010-02-07,5.01
2010-03-07,4.26
2010-04-05,4.43
2010-05-15,4.78
2010-07-06,5.73
2010-07-30,4.99
2010-09-11,5.02
2010-10-02,4.96
2010-11-03,5.71
2010-12-07,6.69
2011-01-02,6.23
2011-02-08,6.81
2011-03-08,7.21
2011-04-03,7.19
2011-05-02,7.54
2011-06-05,6.84
2011-06-27,6.84
2011-07-08,6.22
2011-08-03,6.04
2011-09-10,6.82
2011-10-09,6.72
2011-11-07,7.32
2011-12-04,8.21
2012-01-08,8.76
2012-02-05,8.65
2012-03-11,8.24
2012-04-08,7.35
2012-05-09,6.82
2012-06-10,7.03
2012-07-04,6.67
2012-08-10,6.59
2012-09-02,6.6
2012-10-05,6.53
2012-11-04,5.59
2012-12-02,5.55
2013-01-05,6.2
2013-02-08,6.68
2013-03-11,6.6
2013-04-07,6.15
2013-05-08,6.12
2013-06-09,5.78
2013-07-07,6.21
2013-07-12,6.21
2013-08-04,6.12
2013-09-11,5.56
2013-10-10,5.72
2013-11-09,6.02
2013-12-06,5.62
2014-01-01,5.85
2014-02-08,6.45
2014-03-03,5.57
2014-04-10,4.82
2014-05-07,3.75
2014-06-08,3.94
2014-07-06,4.05
2014-08-11,3.41
2014-09-01,4.35
2014-10-03,4.75
2014-11-08,4.98
2014-12-07,4.33
2015-01-06,5.05
2015-02-05,5.74
2015-03-07,4.92
2015-04-13,4.95
2015-05-13,5.26
2015-06-06,5.06
2015-07-12,5.65
2015-08-06,4.84
2015-09-05,4.91
2015-10-04,4.82
2015-11-07,4.32
2015-12-04,4.11
2016-01-02,4.71
2016-02-02,4.4
2016-03-03,4.27
2016-04-07,3.8
2016-05-06,4.48
2016-06-05,3.79
2016-07-04,3.92
2016-08-06,4.91
2016-09-08,5.49
2016-10-07,4.37
2016-11-05,3.66
2016-12-04,3.17
2017-01-07,4.04
2017-02-08,4.9
2017-03-07,4.41
2017-04-09,3.58
2017-05-06,3.46
