date,percent
2001-06-30,14.2
2001-07-30,16.11
2001-08-30,16.12
2001-09-28,15.85
2001-10-26,16.1
2001-11-28,15.67
2001-12-31,14.96
2002-01-30,15.18
2002-02-27,15.54
2002-03-29,15.91
2002-04-29,15.37
2002-05-29,14.86
2002-06-29,14.18
2002-07-31,14.94
2002-08-29,14.77
2002-09-29,15.9
2002-10-30,15.03
2002-11-29,13.64
2002-12-31,13.19
2003-01-31,14.63
2003-02-28,15.53
2003-03-31,14.57
2003-04-30,15.8
2003-05-30,15.58
2003-06-30,16.72
2003-07-31,16.58
2003-08-31,17.53
2003-09-30,16.17
2003-10-31,16.31
2003-11-30,17.42
2003-12-31,16.08
2004-01-31,15.71
2004-02-29,14.5
2004-03-31,15.99
2004-04-30,12.27
2004-05-30,12.55
2004-06-30,13.44
2004-07-31,15.31
2004-08-30,14.92
2004-09-30,15.02
2004-10-31,13.86
2004-11-30,11.91
2004-12-31,11.93
2005-01-31,11.34
2005-02-28,11.63
2005-03-31,10.19
2005-04-30,9.9
2005-05-31,9.72
2005-06-30,11.06
2005-07-31,10.51
2005-08-31,11.17
2005-09-30,11.82
2005-12-03,11.03
2006-01-04,11.46
2006-02-02,11.3
2006-03-01,11.16
2006-04-02,10.9
2006-05-01,10.94
2006-06-01,10.67
2006-07-02,9.78
2006-08-02,10.25
2006-09-02,10.75
2006-10-01,11.06
2006-11-02,11.05
2006-12-01,10.41
2007-01-02,10.42
2007-02-03,10.77
2007-03-03,11.11
2007-04-01,10.72
2007-05-05,10.11
2007-06-02,11.12
2007-07-02,10.5
2007-08-05,10.11
2007-09-02,9.94
2007-10-04,9.58
2007-11-04,8.75
2007-12-03,7.87
2008-01-03,8.73
2008-02-07,9.27
2008-06-01,10.81
2008-07-02,10.69
2008-08-03,10.06
2008-09-03,10.72
2008-10-06,10.95
2008-11-02,10.36
2008-12-03,10.1
2009-01-02,10.12
2009-02-01,9.63
2009-03-05,10.36
2009-04-07,10.74
2009-05-01,11.07
2009-06-04,10.59
2009-07-02,10.42
2009-08-01,10.5
2009-09-05,9.99
2009-10-02,9.88
2009-11-02,10.0
2009-12-02,9.18
2010-01-05,9.71
2010-02-07,9.45
2010-03-07,9.61
2010-04-05,9.71
2010-05-15,10.38
2010-07-06,10.47
2010-07-30,9.66
2010-09-11,9.81
2010-10-02,9.8
2010-11-03,9.5
2010-12-07,9.01
2011-01-02,8.78
2011-02-08,8.19
2011-03-08,8.75
2011-04-03,9.23
2011-05-02,9.15
2011-06-05,9.83
2011-06-27,9.83
2011-07-08,9.02
2011-08-03,8.43
2011-09-10,8.85
2011-10-09,9.07
2011-11-07,8.08
2011-12-04,8.25
2012-01-08,8.05
2012-02-05,7.85
2012-03-11,8.05
2012-04-08,8.9
2012-05-09,9.82
2012-06-10,9.36
2012-07-04,9.12
2012-08-10,9.33
2012-09-02,9.15
2012-10-05,9.26
2012-11-04,9.7
2012-12-02,9.2
2013-01-05,9.14
2013-02-08,8.76
2013-03-11,9.11
2013-04-07,9.71
2013-05-08,9.2
2013-06-09,8.82
2013-07-07,8.75
2013-07-12,8.75
2013-08-04,9.37
2013-09-11,8.66
2013-10-10,8.66
2013-11-09,8.37
2013-12-06,8.27
2014-01-01,7.56
2014-02-08,6.89
2014-03-03,6.31
2014-04-10,6.14
2014-05-07,5.99
2014-06-08,6.43
2014-07-06,5.52
2014-08-11,4.7
2014-09-01,4.67
2014-10-03,4.87
2014-11-08,6.1
2014-12-07,6.1
2015-01-06,6.7
2015-02-05,6.61
2015-03-07,6.64
2015-04-13,6.96
2015-05-13,7.87
2015-06-06,7.76
2015-07-12,8.64
2015-08-06,7.74
2015-09-05,6.78
2015-10-04,5.75
2015-11-07,6.2
2015-12-04,5.94
2016-01-02,6.91
2016-02-02,6.91
2016-03-03,6.72
2016-04-07,5.92
2016-05-06,6.7
2016-06-05,6.2
2016-07-04,6.31
2016-08-06,5.8
2016-09-08,6.66
2016-10-07,5.8
2016-11-05,5.41
2016-12-04,5.34
2017-01-07,6.3
2017-02-08,5.43
2017-03-07,5.18
2017-04-09,4.55
2017-05-06,4.75
2017-06-03,5.72
2017-07-07,5.58
2017-08-02,5.55
2017-09-06,5.56
2017-10-05,5.01
2017-11-12,5.34
2017-12-09,4.72
2018-01-03,5.6
2018-02-08,5.73
2018-03-07,6.45
2018-04-01,7.22
2018-05-06,7.67
2018-06-10,8.34
2018-07-07,7.62
2018-08-01,7.47
2018-09-03,7.39
2018-10-05,7.59
2018-11-08,8.28
2018-12-02,7.56
2019-01-04,8.16
2019-02-06,7.44
2019-03-02,8.13
2019-04-07,8.84
2019-05-04,8.1
2019-06-09,7.38
2019-07-06,6.7
2019-08-05,6.06
2019-09-09,5.64
2019-10-05,6.23
2019-11-03,5.6
2019-12-06,6.2
2020-01-05,5.57
2020-02-04,6.16
2020-03-04,6.79
2020-04-02,6.78
2020-05-02,6.13
2020-06-01,5.95
2020-07-04,6.21
2020-08-02,6.84
2020-09-06,7.11
2020-10-04,6.94
2020-11-03,7.6
2020-12-03,6.91
2021-01-02,7.56
2021-02-06,6.88
2021-03-04,6.52
2021-04-04,7.14
2021-05-02,7.81
2021-06-05,7.36
2021-07-04,8.02
2021-08-03,7.36
2021-09-11,7.13
2021-10-06,7.5
2021-11-06,8.28
2021-12-05,7.73
2022-01-01,8.29
2022-02-02,8.01
2022-03-02,8.66
2022-04-05,8.28
2022-05-03,8.83
2022-06-04,9.63
