date,percent
2001-06-30,20.24
2001-07-30,20.77
2001-08-30,20.75
2001-09-28,20.77
2001-10-26,19.75
2001-11-28,19.21
2001-12-31,20.14
2002-01-30,18.83
2002-02-27,19.89
2002-03-29,19.85
2002-04-29,19.82
2002-05-29,19.99
2002-06-29,19.57
2002-07-31,19.25
2002-08-29,18.16
2002-09-29,18.7
2002-10-30,18.73
2002-11-29,17.5
2002-12-31,17.26
2003-01-31,18.25
2003-02-28,18.54
2003-03-31,17.21
2003-04-30,18.02
2003-05-30,18.5
2003-06-30,18.52
2003-07-31,17.97
2003-08-31,17.78
2003-09-30,18.31
2003-10-31,17.0
2003-11-30,18.47
2003-12-31,18.6
2004-01-31,18.2
2004-02-29,18.93
2004-03-31,17.75
2004-04-30,17.95
2004-05-30,18.29
2004-06-30,17.14
2004-07-31,16.33
2004-08-30,17.12
2004-09-30,18.17
2004-10-31,17.99
2004-11-30,19.7
2004-12-31,20.71
2005-01-31,19.82
2005-02-28,19.47
2005-03-31,18.63
2005-04-30,18.52
2005-05-31,19.37
2005-06-30,19.85
2005-07-31,19.47
2005-08-31,19.16
2005-09-30,18.77
2005-12-03,19.63
2006-01-04,19.01
2006-02-02,18.33
2006-03-01,17.79
2006-04-02,17.69
2006-05-01,17.69
2006-06-01,18.25
2006-07-02,17.83
2006-08-02,17.43
2006-09-02,18.06
2006-10-01,17.66
2006-11-02,17.2
2006-12-01,16.62
2007-01-02,15.81
2007-02-03,16.1
2007-03-03,15.63
2007-04-01,14.94
2007-05-05,15.15
2007-06-02,15.97
2007-07-02,16.36
2007-08-05,15.7
2007-09-02,14.91
2007-10-04,14.59
2007-11-04,13.97
2007-12-03,13.17
2008-01-03,13.92
2008-02-07,14.86
2008-06-01,15.51
2008-07-02,15.95
2008-08-03,16.18
2008-09-03,15.38
2008-10-06,15.57
2008-11-02,15.28
2008-12-03,15.02
2009-01-02,15.93
2009-02-01,15.84
2009-03-05,15.86
2009-04-07,15.47
2009-05-01,16.13
2009-06-04,16.78
2009-07-02,17.32
2009-08-01,17.22
2009-09-05,16.86
2009-10-02,16.84
2009-11-02,17.32
2009-12-02,16.28
2010-01-05,16.22
2010-02-07,16.6
2010-03-07,17.28
2010-04-05,18.06
2010-05-15,18.19
2010-07-06,18.48
2010-07-30,17.87
2010-09-11,17.15
2010-10-02,17.18
2010-11-03,16.72
2010-12-07,16.08
2011-01-02,15.82
2011-02-08,14.99
2011-03-08,15.26
2011-04-03,16.16
2011-05-02,16.17
2011-06-05,16.28
2011-06-27,16.28
2011-07-08,17.28
2011-08-03,17.39
2011-09-10,18.0
2011-10-09,17.71
2011-11-07,17.32
2011-12-04,17.06
2012-01-08,16.97
2012-02-05,16.52
2012-03-11,17.09
2012-04-08,17.55
2012-05-09,17.35
2012-06-10,17.72
2012-07-04,18.33
2012-08-10,18.94
2012-09-02,19.3
2012-10-05,19.82
2012-11-04,19.22
2012-12-02,18.7
2013-01-05,17.85
2013-02-08,17.08
2013-03-11,17.14
2013-04-07,17.86
2013-05-08,18.73
2013-06-09,17.81
2013-07-07,17.63
2013-07-12,17.63
2013-08-04,15.97
2013-09-11,16.98
2013-10-10,17.25
2013-11-09,18.16
2013-12-06,17.89
2014-01-01,17.94
2014-02-08,18.33
2014-03-03,17.53
2014-04-10,17.63
2014-05-07,16.93
2014-06-08,16.19
2014-07-06,17.14
2014-08-11,16.4
2014-09-01,16.72
2014-10-03,17.66
2014-11-08,17.47
2014-12-07,17.59
2015-01-06,16.7
2015-02-05,16.49
2015-03-07,16.64
2015-04-13,15.75
2015-05-13,16.85
2015-06-06,16.79
2015-07-12,16.15
2015-08-06,14.73
2015-09-05,15.62
2015-10-04,16.19
2015-11-07,17.15
2015-12-04,16.46
2016-01-02,16.04
2016-02-02,15.59
2016-03-03,14.6
2016-04-07,13.91
2016-05-06,13.22
2016-06-05,12.38
2016-07-04,12.24
2016-08-06,11.3
2016-09-08,10.95
2016-10-07,9.84
2016-11-05,9.2
2016-12-04,8.73
2017-01-07,9.35
2017-02-08,8.44
2017-03-07,7.74
2017-04-09,6.97
2017-05-06,7.0
2017-06-03,6.85
2017-07-07,7.32
2017-08-02,6.48
2017-09-06,7.38
2017-10-05,8.37
2017-11-12,9.29
2017-12-09,10.16
2018-01-03,11.04
2018-02-08,11.86
2018-03-07,12.76
2018-04-01,13.59
2018-05-06,14.0
2018-06-10,14.94
2018-07-07,14.66
2018-08-01,14.97
2018-09-03,15.45
2018-10-05,15.38
2018-11-08,14.4
2018-12-02,14.28
2019-01-04,13.34
2019-02-06,12.42
2019-03-02,13.31
2019-04-07,14.08
2019-05-04,14.24
2019-06-09,13.3
2019-07-06,14.21
2019-08-05,15.15
2019-09-09,15.21
2019-10-05,16.18
2019-11-03,16.04
2019-12-06,16.09
2020-01-05,15.77
2020-02-04,16.77
2020-03-04,16.33
2020-04-02,16.72
2020-05-02,17.07
2020-06-01,17.19
2020-07-04,16.45
2020-08-02,16.98
2020-09-06,15.95
2020-10-04,16.95
2020-11-03,16.21
2020-12-03,16.48
2021-01-02,17.38
2021-02-06,16.34
2021-03-04,15.33
2021-04-04,14.32
2021-05-02,13.38
2021-06-05,12.54
2021-07-04,11.63
2021-08-03,12.57
2021-09-11,11.83
2021-10-06,11.16
2021-11-06,10.72
2021-12-05,11.8
2022-01-01,12.44
2022-02-02,14.08
2022-03-02,13.06
2022-04-05,12.71
2022-05-03,11.59
2022-06-04,11.91
2022-07-02,13.13
2022-08-02,14.76
2022-09-01,13.96
2022-10-01,15.21
