date,percent
2001-06-30,26.49
2001-07-30,25.03
2001-08-30,24.66
2001-09-28,24.82
2001-10-26,25.68
2001-11-28,24.37
2001-12-31,24.2
2002-01-30,24.06
2002-02-27,24.01
2002-03-29,24.41
2002-04-29,25.05
2002-05-29,25.19
2002-06-29,24.2
2002-07-31,24.53
2002-08-29,22.89
2002-09-29,24.48
2002-10-30,24.2
2002-11-29,24.12
2002-12-31,24.23
2003-01-31,24.79
2003-02-28,24.78
2003-03-31,24.6
2003-04-30,24.66
2003-05-30,23.11
2003-06-30,22.34
2003-07-31,23.21
2003-08-31,22.24
2003-09-30,21.9
2003-10-31,23.08
2003-11-30,25.01
2003-12-31,23.57
2004-01-31,22.56
2004-02-29,23.17
2004-03-31,24.24
2004-04-30,18.69
2004-05-30,17.54
2004-06-30,17.05
2004-07-31,17.0
2004-08-30,15.9
2004-09-30,17.05
2004-10-31,14.8
2004-11-30,16.33
2004-12-31,17.48
2005-01-31,18.34
2005-02-28,18.87
2005-03-31,16.98
2005-04-30,17.4
2005-05-31,18.57
2005-06-30,19.66
2005-07-31,21.21
2005-08-31,22.44
2005-09-30,21.87
2005-12-03,22.13
2006-01-04,22.25
2006-02-02,22.43
2006-03-01,21.89
2006-04-02,21.28
2006-05-01,21.32
2006-06-01,21.13
2006-07-02,21.85
2006-08-02,22.38
2006-09-02,21.53
2006-10-01,21.17
2006-11-02,20.4
2006-12-01,19.91
2007-01-02,19.16
2007-02-03,18.98
2007-03-03,18.04
2007-04-01,18.36
2007-05-05,19.14
2007-06-02,20.03
2007-07-02,21.01
2007-08-05,21.77
2007-09-02,21.7
2007-10-04,21.62
2007-11-04,20.54
2007-12-03,20.05
2008-01-03,20.85
2008-02-07,21.48
2008-06-01,20.89
2008-07-02,21.34
2008-08-03,21.57
2008-09-03,20.71
2008-10-06,20.95
2008-11-02,20.3
2008-12-03,17.92
2009-01-02,19.02
2009-02-01,19.4
2009-03-05,19.8
2009-04-07,19.34
2009-05-01,19.54
2009-06-04,20.15
2009-07-02,20.45
2009-08-01,19.53
2009-09-05,19.38
2009-10-02,18.65
2009-11-02,18.37
2009-12-02,17.06
2010-01-05,17.48
2010-02-07,17.35
2010-03-07,17.51
2010-04-05,18.05
2010-05-15,17.96
2010-07-06,18.67
2010-07-30,17.99
2010-09-11,17.92
2010-10-02,18.17
2010-11-03,18.51
2010-12-07,18.0
2011-01-02,17.77
2011-02-08,18.48
2011-03-08,19.71
2011-04-03,19.04
2011-05-02,18.16
2011-06-05,18.58
2011-06-27,18.58
2011-07-08,19.25
2011-08-03,19.41
2011-09-10,18.76
2011-10-09,17.91
2011-11-07,17.87
2011-12-04,17.56
2012-01-08,17.47
2012-02-05,17.05
2012-03-11,17.11
2012-04-08,17.03
2012-05-09,16.6
2012-06-10,16.26
2012-07-04,16.09
2012-08-10,16.35
2012-09-02,16.27
2012-10-05,17.19
2012-11-04,17.46
2012-12-02,17.57
2013-01-05,17.42
2013-02-08,18.39
2013-03-11,18.16
2013-04-07,17.68
2013-05-08,16.91
2013-06-09,16.66
2013-07-07,15.91
2013-07-12,15.91
2013-08-04,15.98
2013-09-11,16.15
2013-10-10,16.11
2013-11-09,16.52
2013-12-06,17.31
2014-01-01,16.52
2014-02-08,17.32
2014-03-03,16.41
2014-04-10,17.35
2014-05-07,16.91
2014-06-08,16.11
2014-07-06,15.69
2014-08-11,14.98
