date,percent
2001-06-30,1.55
2001-07-30,1.72
2001-08-30,1.66
2001-09-28,1.63
2001-10-26,1.51
2001-11-28,1.47
2001-12-31,1.46
2002-01-30,2.73
2002-02-27,1.48
2002-03-29,1.47
2002-04-29,1.37
2002-05-29,1.36
2002-06-29,1.43
2002-07-31,1.15
2002-08-29,2.02
2002-09-29,1.91
2002-10-30,1.98
2002-11-29,2.49
2002-12-31,2.42
2003-01-31,2.92
2003-02-28,2.81
2003-03-31,2.63
2003-04-30,3.26
2003-05-30,1.72
2003-06-30,1.69
2003-07-31,1.79
2003-08-31,1.9
2003-09-30,1.66
2003-10-31,1.92
2003-11-30,1.74
2003-12-31,1.74
2004-01-31,2.14
2004-02-29,2.06
2004-03-31,1.78
2004-04-30,1.78
2004-05-30,1.45
2004-06-30,1.61
2004-07-31,1.68
2004-08-30,1.51
2004-09-30,1.27
2004-10-31,1.2
2004-11-30,1.59
2004-12-31,1.7
2005-01-31,1.78
2005-02-28,1.65
2005-03-31,1.64
2005-04-30,1.44
2005-05-31,1.39
2005-06-30,1.78
2005-07-31,1.92
2005-08-31,1.77
2005-09-30,2.04
2005-12-03,1.84
2006-01-04,1.54
2006-02-02,1.51
2006-03-01,1.73
2006-04-02,1.57
2006-05-01,2.19
2006-06-01,1.46
2006-07-02,2.11
2006-08-02,2.02
2006-09-02,2.44
2006-10-01,2.2
2006-11-02,2.31
2006-12-01,2.56
2007-01-02,2.84
2007-02-03,2.98
2007-03-03,3.49
2007-04-01,3.14
2007-05-05,3.07
2007-06-02,2.62
2007-07-02,2.51
2007-08-05,2.58
2007-09-02,2.72
2007-10-04,2.68
2007-11-04,2.93
2007-12-03,2.73
2008-01-03,3.2
2008-02-07,2.33
2008-06-01,2.93
2008-07-02,2.76
2008-08-03,2.89
2008-09-03,3.13
2008-10-06,2.67
2008-11-02,2.93
2008-12-03,2.97
2009-01-02,3.36
2009-02-01,3.54
2009-03-05,3.61
2009-04-07,3.68
2009-05-01,3.55
2009-06-04,4.02
2009-07-02,3.51
2009-08-01,2.81
2009-09-05,3.0
2009-10-02,3.03
2009-11-02,2.92
2009-12-02,3.51
2010-01-05,2.71
2010-02-07,2.64
2010-03-07,2.65
2010-04-05,2.47
2010-05-15,2.08
2010-07-06,2.43
2010-07-30,2.4
2010-09-11,1.66
2010-10-02,1.66
2010-11-03,1.66
2010-12-07,1.51
2011-01-02,1.59
2011-02-08,2.56
2011-03-08,1.87
2011-04-03,1.51
2011-05-02,1.39
2011-06-05,1.5
2011-06-27,1.5
2011-07-08,2.24
2011-08-03,1.56
2011-09-10,1.47
2011-10-09,2.19
2011-11-07,2.56
2011-12-04,2.2
2012-01-08,2.32
2012-02-05,2.46
2012-03-11,3.39
2012-04-08,2.88
2012-05-09,2.13
2012-06-10,1.47
2012-07-04,1.45
2012-08-10,1.37
2012-09-02,1.33
2012-10-05,1.26
2012-11-04,1.28
2012-12-02,1.32
2013-01-05,1.98
2013-02-08,1.42
2013-03-11,1.37
2013-04-07,1.51
2013-05-08,1.54
2013-06-09,1.65
2013-07-07,1.84
2013-07-12,1.84
2013-08-04,2.09
2013-09-11,2.01
2013-10-10,2.04
2013-11-09,2.05
2013-12-06,1.85
2014-01-01,1.58
2014-02-08,1.93
2014-03-03,1.9
2014-04-10,1.75
2014-05-07,1.79
2014-06-08,2.0
2014-07-06,1.81
2014-08-11,2.17
2014-09-01,2.45
2014-10-03,1.77
2014-11-08,2.09
2014-12-07,2.43
2015-01-06,3.27
2015-02-05,3.51
2015-03-07,3.63
2015-04-13,3.3
2015-05-13,3.13
2015-06-06,2.3
2015-07-12,2.19
2015-08-06,2.16
2015-09-05,2.34
2015-10-04,2.29
2015-11-07,2.47
2015-12-04,2.36
2016-01-02,2.57
2016-02-02,2.2
2016-03-03,2.33
2016-04-07,2.57
2016-05-06,2.34
2016-06-05,2.58
2016-07-04,2.64
2016-08-06,2.71
2016-09-08,2.93
2016-10-07,2.75
2016-11-05,2.71
2016-12-04,2.86
2017-01-07,2.85
2017-02-08,2.87
2017-03-07,2.67
2017-04-09,2.85
2017-05-06,3.07
2017-06-03,3.02
2017-07-07,2.61
2017-08-02,2.1
2017-09-06,2.02
2017-10-05,3.01
2017-11-12,2.97
2017-12-09,2.47
2018-01-03,3.47
2018-02-08,3.16
2018-03-07,3.92
2018-04-01,3.49
2018-05-06,2.92
2018-06-10,2.5
2018-07-07,2.83
2018-08-01,2.41
2018-09-03,2.13
2018-10-05,2.28
2018-11-08,2.66
2018-12-02,3.06
2019-01-04,3.3
