date,percent
2001-06-30,6.6
2001-07-30,6.78
2001-08-30,7.07
2001-09-28,7.31
2001-10-26,7.38
2001-11-28,7.23
2001-12-31,7.48
2002-01-30,7.15
2002-02-27,6.71
2002-03-29,6.61
2002-04-29,6.48
2002-05-29,6.66
2002-06-29,8.01
2002-07-31,9.29
2002-08-29,9.31
2002-09-29,8.33
2002-10-30,7.98
2002-11-29,8.73
2002-12-31,8.42
2003-01-31,8.67
2003-02-28,8.74
2003-03-31,10.61
2003-04-30,9.01
2003-05-30,9.44
2003-06-30,9.2
2003-07-31,8.98
2003-08-31,8.1
2003-09-30,8.34
2003-10-31,7.69
2003-11-30,8.94
2003-12-31,9.6
2004-01-31,9.48
2004-02-29,10.39
2004-03-31,7.77
2004-04-30,10.71
2004-05-30,10.38
2004-06-30,8.88
2004-07-31,8.44
2004-08-30,8.97
2004-09-30,8.82
2004-10-31,9.73
2004-11-30,7.42
2004-12-31,7.46
2005-01-31,8.86
2005-02-28,9.15
2005-03-31,10.2
2005-04-30,10.58
2005-05-31,10.37
2005-06-30,7.83
2005-07-31,9.88
2005-08-31,9.27
2005-09-30,7.45
2005-12-03,7.39
2006-01-04,7.05
2006-02-02,6.71
2006-03-01,6.42
2006-04-02,5.85
2006-05-01,6.05
2006-06-01,6.0
2006-07-02,5.63
2006-08-02,5.31
2006-09-02,5.43
2006-10-01,5.48
2006-11-02,6.23
2006-12-01,6.4
2007-01-02,6.24
2007-02-03,6.07
2007-03-03,6.42
2007-04-01,6.04
2007-05-05,6.15
2007-06-02,6.18
2007-07-02,5.33
2007-08-05,5.32
2007-09-02,5.42
2007-10-04,5.35
2007-11-04,4.74
2007-12-03,4.38
2008-01-03,5.25
2008-02-07,6.21
2008-06-01,5.55
2008-07-02,5.13
2008-08-03,4.69
2008-09-03,4.84
2008-10-06,4.42
2008-11-02,3.88
2008-12-03,3.4
2009-01-02,4.3
2009-02-01,4.12
2009-03-05,3.42
2009-04-07,3.46
2009-05-01,3.52
2009-06-04,3.91
2009-07-02,4.2
2009-08-01,4.03
2009-09-05,4.53
2009-10-02,3.76
2009-11-02,3.49
2009-12-02,2.69
2010-01-05,3.56
2010-02-07,3.6
2010-03-07,3.82
2010-04-05,3.55
2010-05-15,3.29
2010-07-06,3.1
2010-07-30,3.43
2010-09-11,2.45
2010-10-02,2.31
2010-11-03,2.47
2010-12-07,2.33
2011-01-02,2.86
2011-02-08,1.91
2011-03-08,1.97
2011-04-03,1.99
2011-05-02,2.23
2011-06-05,2.31
2011-06-27,2.31
2011-07-08,2.33
2011-08-03,2.31
2011-09-10,2.47
2011-10-09,2.43
2011-11-07,2.08
2011-12-04,2.47
2012-01-08,2.77
2012-02-05,2.93
2012-03-11,2.7
2012-04-08,2.39
2012-05-09,2.81
2012-06-10,2.22
2012-07-04,2.05
2012-08-10,2.27
2012-09-02,2.27
2012-10-05,2.13
2012-11-04,2.18
2012-12-02,2.17
2013-01-05,2.26
2013-02-08,2.25
2013-03-11,1.96
2013-04-07,2.33
2013-05-08,2.28
2013-06-09,2.27
2013-07-07,2.15
2013-07-12,2.15
2013-08-04,2.04
2013-09-11,1.69
2013-10-10,1.61
2013-11-09,1.52
2013-12-06,1.07
2014-01-01,0.92
2014-02-08,0.89
2014-03-03,1.15
2014-04-10,1.03
2014-05-07,1.47
2014-06-08,1.48
2014-07-06,1.63
2014-08-11,2.22
2014-09-01,1.37
2014-10-03,2.12
2014-11-08,2.07
2014-12-07,1.83
2015-01-06,2.26
2015-02-05,1.39
2015-03-07,1.33
2015-04-13,1.34
2015-05-13,1.82
2015-06-06,1.76
2015-07-12,1.81
2015-08-06,2.12
2015-09-05,1.9
2015-10-04,2.25
2015-11-07,2.03
2015-12-04,2.21
2016-01-02,1.84
2016-02-02,2.25
2016-03-03,2.25
2016-04-07,2.52
2016-05-06,2.33
2016-06-05,2.39
2016-07-04,2.43
2016-08-06,2.51
2016-09-08,2.33
2016-10-07,2.49
2016-11-05,2.36
2016-12-04,2.34
2017-01-07,2.75
2017-02-08,2.17
2017-03-07,2.26
2017-04-09,2.41
2017-05-06,2.6
2017-06-03,2.31
2017-07-07,2.33
2017-08-02,1.99
2017-09-06,1.95
2017-10-05,1.96
2017-11-12,1.56
2017-12-09,1.44
2018-01-03,2.42
2018-02-08,1.76
2018-03-07,2.23
2018-04-01,1.53
2018-05-06,0.91
2018-06-10,1.15
2018-07-07,1.1
2018-08-01,1.17
2018-09-03,1.07
2018-10-05,1.17
2018-11-08,1.0
2018-12-02,1.01
2019-01-04,1.22
2019-02-06,1.1
2019-03-02,1.3
2019-04-07,1.27
2019-05-04,1.39
2019-06-09,1.17
2019-07-06,0.92
2019-08-05,0.86
2019-09-09,1.05
2019-10-05,1.02
2019-11-03,0.83
2019-12-06,0.9
2020-01-05,0.75
2020-02-04,0.7
2020-03-04,0.91
2020-04-02,0.97
2020-05-02,0.88
2020-06-01,0.82
2020-07-04,0.87
2020-08-02,1.11
2020-09-06,1.3
2020-10-04,1.43
2020-11-03,1.51
2020-12-03,1.2
2021-01-02,1.02
2021-02-06,0.93
2021-03-04,1.15
2021-04-04,0.99
2021-05-02,1.04
2021-06-05,1.18
2021-07-04,0.9
2021-08-03,0.78
2021-09-11,0.78
2021-10-06,0.93
2021-11-06,1.22
2021-12-05,0.96
2022-01-01,0.71
2022-02-02,0.79
2022-03-02,0.57
2022-04-05,0.79
2022-05-03,0.99
2022-06-04,0.76
2022-07-02,0.78
2022-08-02,0.7
2022-09-01,0.72
2022-10-01,0.69
2022-11-01,0.57
2022-12-02,0.78
2022-12-29,0.59
2023-02-01,0.79
2023-03-02,0.58
2023-04-01,0.44
2023-05-02,0.6
2023-06-02,0.63
2023-07-02,0.65
2023-08-04,0.68
2023-09-02,0.73
2023-10-04,0.64
2023-11-02,0.59
2023-12-04,0.55
2024-01-02,0.52
2024-02-02,0.63
