date,percent
2007-05-05,0.06
2007-06-02,0.07
2007-07-02,0.07
2007-08-05,0.06
2007-09-02,0.07
2007-10-04,0.07
2007-11-04,0.09
2007-12-03,0.09
2008-01-03,0.04
2008-02-07,0.06
2008-06-01,0.09
2008-07-02,0.08
2008-08-03,0.06
2008-09-03,0.07
2008-10-06,0.07
2008-11-02,0.08
2008-12-03,0.07
2009-01-02,0.07
2009-02-01,0.08
2009-03-05,0.08
2009-04-07,0.09
2009-05-01,0.1
2009-06-04,0.1
2009-07-02,0.1
2009-08-01,0.11
2009-09-05,0.09
2009-10-02,0.1
2009-11-02,0.1
2009-12-02,0.11
2010-01-05,0.1
2010-02-07,0.14
2010-03-07,0.15
2010-04-05,0.14
2010-05-15,0.2
2010-07-06,0.17
2010-07-30,0.18
2010-09-11,0.33
2010-10-02,0.36
2010-11-03,0.36
2010-12-07,0.54
2011-01-02,0.54
2011-02-08,0.56
2011-03-08,0.49
2011-04-03,0.42
2011-05-02,0.43
2011-06-05,0.37
2011-06-27,0.37
2011-07-08,0.36
2011-08-03,0.4
2011-09-10,0.39
2011-10-09,0.42
2011-11-07,0.5
2011-12-04,0.52
2012-01-08,0.6
2012-02-05,0.62
2012-03-11,0.5
2012-04-08,0.38
2012-05-09,0.38
2012-06-10,0.44
2012-07-04,0.44
2012-08-10,0.43
2012-09-02,0.44
2012-10-05,0.42
2012-11-04,0.42
2012-12-02,0.45
2013-01-05,0.44
2013-02-08,0.46
2013-03-11,0.53
2013-04-07,0.48
2013-05-08,0.54
2013-06-09,0.48
2013-07-07,0.51
2013-07-12,0.51
2013-08-04,0.39
2013-09-11,0.65
2013-10-10,0.55
2013-11-09,0.41
2013-12-06,0.25
2014-01-01,0.25
2014-02-08,0.25
2014-03-03,0.23
2014-04-10,0.26
2014-05-07,0.38
2014-06-08,0.67
2014-07-06,0.41
2014-08-11,0.52
2014-09-01,0.8
2014-10-03,1.52
2014-11-08,1.55
2014-12-07,1.63
2015-01-06,1.04
2015-02-05,0.96
2015-03-07,0.95
2015-04-13,1.03
2015-05-13,1.44
2015-06-06,1.52
2015-07-12,1.23
2015-08-06,1.01
2015-09-05,1.04
2015-10-04,0.99
2015-11-07,1.01
2015-12-04,1.12
2016-01-02,1.05
2016-02-02,1.19
2016-03-03,1.29
2016-04-07,1.27
2016-05-06,1.33
2016-06-05,1.54
2016-07-04,1.51
2016-08-06,1.61
2016-09-08,1.68
2016-10-07,1.74
2016-11-05,1.72
2016-12-04,1.83
2017-01-07,1.79
2017-02-08,1.92
2017-03-07,2.02
2017-04-09,2.14
2017-05-06,2.19
2017-06-03,2.15
2017-07-07,2.11
2017-08-02,1.77
2017-09-06,1.82
2017-10-05,1.68
2017-11-12,1.6
2017-12-09,1.91
2018-01-03,2.55
2018-02-08,2.09
2018-03-07,1.13
2018-04-01,1.81
2018-05-06,1.18
2018-06-10,1.45
2018-07-07,1.15
2018-08-01,0.96
2018-09-03,1.02
2018-10-05,1.21
2018-11-08,1.41
2018-12-02,1.11
2019-01-04,1.33
2019-02-06,1.04
2019-03-02,1.28
2019-04-07,1.18
2019-05-04,0.95
2019-06-09,0.91
2019-07-06,0.84
2019-08-05,0.82
2019-09-09,1.05
2019-10-05,1.26
2019-11-03,0.98
2019-12-06,0.99
2020-01-05,0.81
2020-02-04,1.01
2020-03-04,1.26
2020-04-02,1.54
2020-05-02,1.85
2020-06-01,2.19
2020-07-04,2.41
2020-08-02,2.79
2020-09-06,2.37
2020-10-04,1.99
2020-11-03,1.64
2020-12-03,1.6
2021-01-02,1.9
2021-02-06,1.56
2021-03-04,1.25
2021-04-04,1.12
2021-05-02,1.38
2021-06-05,1.2
2021-07-04,1.33
2021-08-03,1.05
2021-09-11,0.98
2021-10-06,1.2
2021-11-06,1.28
2021-12-05,1.58
2022-01-01,1.25
2022-02-02,1.11
2022-03-02,1.37
2022-04-05,1.55
2022-05-03,1.22
2022-06-04,0.98
2022-07-02,0.76
2022-08-02,0.9
2022-09-01,0.95
2022-10-01,1.22
2022-11-01,1.14
2022-12-02,1.25
2022-12-29,1.04
2023-02-01,1.08
2023-03-02,0.93
2023-04-01,0.76
2023-05-02,0.82
2023-06-02,0.94
2023-07-02,0.87
2023-08-04,0.92
2023-09-02,0.97
2023-10-04,0.96
2023-11-02,0.93
2023-12-04,0.72
2024-01-02,0.74
2024-02-02,0.99
2024-03-01,0.81
2024-04-03,0.84
2024-05-01,0.75
2024-06-01,0.96
2024-07-03,0.83
2024-08-01,1.11
2024-09-01,1.2
2024-10-02,1.09
2024-11-01,1.02
2024-12-01,1.05
2025-01-01,1.0
2025-02-01,1.06
2025-03-03,0.94
2025-04-01,1.19
2025-05-02,1.46
2025-06-01,1.39
2025-07-02,1.25
2025-08-02,1.37
2025-09-02,1.43
2025-10-02,1.52
2025-11-01,1.67
2025-12-02,1.96
