date,percent
2001-06-30,2.96
2001-07-30,2.77
2001-08-30,2.38
2001-09-28,2.36
2001-10-26,2.24
2001-11-28,1.84
2001-12-31,1.87
2002-01-30,1.94
2002-02-27,2.09
2002-03-29,2.06
2002-04-29,2.33
2002-05-29,2.36
2002-06-29,2.53
2002-07-31,2.66
2002-08-29,2.65
2002-09-29,2.54
2002-10-30,2.64
2002-11-29,2.38
2002-12-31,2.52
2003-01-31,2.56
2003-02-28,2.51
2003-03-31,2.56
2003-04-30,2.65
2003-05-30,3.12
2003-06-30,3.04
2003-07-31,2.99
2003-08-31,3.24
2003-09-30,3.72
2003-10-31,3.7
2003-11-30,2.93
2003-12-31,3.1
2004-01-31,3.51
2004-02-29,3.1
2004-03-31,2.97
2004-04-30,2.44
2018-02-08,2.36
2018-03-07,2.69
2018-04-01,2.65
2018-05-06,1.99
2018-06-10,2.34
2018-07-07,2.33
2018-08-01,2.32
2018-09-03,2.06
2018-10-05,2.04
2018-11-08,1.84
2018-12-02,2.18
2019-01-04,2.28
2019-02-06,1.9
2019-03-02,1.93
2019-04-07,2.27
2019-05-04,2.56
2019-06-09,2.22
2019-07-06,1.98
2019-08-05,1.63
2019-09-09,1.94
2019-10-05,1.93
2019-11-03,1.69
2019-12-06,1.84
2020-01-05,1.5
2020-02-04,1.53
2020-03-04,1.83
2020-04-02,2.17
2020-05-02,2.09
2020-06-01,1.73
2020-07-04,1.4
2020-08-02,1.46
2020-09-06,1.76
2020-10-04,1.57
2020-11-03,1.54
2020-12-03,1.53
2021-01-02,1.61
2021-02-06,1.72
2021-03-04,1.87
2021-04-04,1.83
2021-05-02,1.71
2021-06-05,1.88
2021-07-04,1.53
2021-08-03,1.47
2021-09-11,1.8
2021-10-06,2.17
2021-11-06,2.11
2021-12-05,1.79
2022-01-01,1.8
2022-02-02,1.55
2022-03-02,1.85
2022-04-05,2.28
2022-05-03,1.87
2022-06-04,1.94
2022-07-02,1.64
2022-08-02,1.67
2022-09-01,2.01
2022-10-01,1.78
2022-11-01,1.82
2022-12-02,2.22
2022-12-29,2.5
2023-02-01,2.12
2023-03-02,1.95
2023-04-01,1.68
2023-05-02,1.48
2023-06-02,1.47
2023-07-02,1.48
2023-08-04,1.53
2023-09-02,1.44
2023-10-04,1.78
2023-11-02,1.88
2023-12-04,1.61
2024-01-02,1.46
2024-02-02,1.82
2024-03-01,1.92
2024-04-03,1.61
2024-05-01,1.44
2024-06-01,1.75
2024-07-03,2.04
2024-08-01,2.21
2024-09-01,1.94
2024-10-02,1.64
2024-11-01,1.94
2024-12-01,1.99
2025-01-01,2.41
2025-02-01,2.87
2025-03-03,2.57
2025-04-01,2.19
2025-05-02,1.9
2025-06-01,1.55
2025-07-02,1.39
2025-08-02,1.72
2025-09-02,1.86
2025-10-02,1.77
2025-11-01,1.8
2025-12-02,2.1
