date,percent
2010-09-11,0.33
2010-10-02,0.33
2010-11-03,0.32
2010-12-07,0.26
2011-01-02,0.26
2011-02-08,0.59
2011-03-08,0.56
2011-04-03,0.34
2011-05-02,0.48
2011-06-05,0.43
2011-06-27,0.43
2011-07-08,0.48
2011-08-03,0.46
2011-09-10,0.31
2011-10-09,0.48
2011-11-07,0.53
2011-12-04,0.36
2012-01-08,0.48
2012-02-05,0.8
2012-03-11,0.78
2012-04-08,0.98
2012-05-09,1.27
2012-06-10,1.22
2012-07-04,0.92
2012-08-10,0.88
2012-09-02,0.84
2012-10-05,0.6
2012-11-04,0.77
2012-12-02,0.89
2013-01-05,1.04
2013-02-08,1.01
2013-03-11,0.89
2013-04-07,1.1
2013-05-08,1.13
2013-06-09,1.07
2013-07-07,1.25
2013-07-12,1.25
2013-08-04,1.32
2013-09-11,1.84
2013-10-10,1.93
2013-11-09,1.97
2013-12-06,1.69
2014-01-01,1.56
2014-02-08,1.8
2014-03-03,1.86
2014-04-10,1.75
2014-05-07,1.26
2014-06-08,1.91
2014-07-06,1.49
2014-08-11,2.01
2014-09-01,1.27
2014-10-03,1.56
2014-11-08,1.66
2014-12-07,1.8
2015-01-06,1.07
2015-02-05,1.72
2015-03-07,1.95
2015-04-13,2.2
2015-05-13,1.89
2015-06-06,1.84
2015-07-12,1.95
2015-08-06,1.78
2015-09-05,1.53
2015-10-04,1.51
2015-11-07,1.68
2015-12-04,1.65
2016-01-02,1.68
2016-02-02,1.86
2016-03-03,1.67
2016-04-07,1.61
2016-05-06,1.83
2016-06-05,2.25
2016-07-04,2.01
2016-08-06,2.05
2016-09-08,1.76
2016-10-07,1.99
2016-11-05,1.92
2016-12-04,1.97
2017-01-07,1.91
2017-02-08,1.88
2017-03-07,2.01
2017-04-09,2.06
2017-05-06,2.35
2017-06-03,2.01
2017-07-07,2.1
2017-08-02,1.81
2017-09-06,1.75
2017-10-05,1.42
2017-11-12,1.49
2017-12-09,1.35
2018-01-03,2.31
2018-02-08,2.18
2018-03-07,1.74
2018-04-01,1.8
2018-05-06,0.91
2018-06-10,1.15
2018-07-07,0.89
2018-08-01,0.92
2018-09-03,0.68
2018-10-05,0.65
2018-11-08,0.85
2018-12-02,0.98
2019-01-04,1.03
2019-02-06,0.99
2019-03-02,0.95
2019-04-07,1.06
2019-05-04,1.32
2019-06-09,1.07
2019-07-06,1.01
2019-08-05,1.02
2019-09-09,1.08
2019-10-05,1.23
2019-11-03,0.96
2019-12-06,0.93
2020-01-05,0.83
2020-02-04,0.6
2020-03-04,0.77
2020-04-02,4.72
2020-05-02,4.18
2020-06-01,4.69
2020-07-04,5.23
2020-08-02,4.66
2020-09-06,4.12
2020-10-04,3.97
2020-11-03,4.01
2020-12-03,3.92
2021-01-02,3.84
2021-02-06,4.33
2021-03-04,4.85
2021-04-04,4.55
2021-05-02,4.02
2021-06-05,4.01
2021-07-04,4.5
2021-08-03,4.67
2021-09-11,4.62
2021-10-06,5.24
2021-11-06,5.72
2021-12-05,5.4
2022-01-01,4.74
2022-02-02,5.23
2022-03-02,5.77
2022-04-05,5.4
2022-05-03,5.86
2022-06-04,5.42
2022-07-02,4.97
2022-08-02,4.9
2022-09-01,4.39
2022-10-01,3.95
2022-11-01,4.11
2022-12-02,3.94
2022-12-29,4.64
2023-02-01,4.14
2023-03-02,4.75
2023-04-01,4.4
2023-05-02,3.84
2023-06-02,3.34
2023-07-02,2.9
2023-08-04,2.63
2023-09-02,2.22
2023-10-04,2.13
2023-11-02,2.1
2023-12-04,1.82
2024-01-02,1.6
2024-02-02,1.52
2024-03-01,1.42
2024-04-03,1.7
2024-05-01,2.01
2024-06-01,1.66
2024-07-03,2.08
2024-08-01,2.18
2024-09-01,2.7
2024-10-02,2.35
2024-11-01,1.95
2024-12-01,1.96
2025-01-01,2.37
2025-02-01,2.04
2025-03-03,2.52
2025-04-01,2.94
2025-05-02,2.62
2025-06-01,2.2
2025-07-02,1.94
2025-08-02,2.33
2025-09-02,2.84
2025-10-02,3.22
2025-11-01,3.31
2025-12-02,2.81
